word,meaning
itumelela,happiness
tlalelo,distress
boitumelo,joy
khutsafalo,sadness
kgatelelo,pressure
tshegofatso,blessing
kgalefo,anger
boipelo,celebration
letshogo,fear
kgotso,peace
tlhobaelo,anxiety
lerato,love
tlontlologo,disrespect
katlego,success
matlhotlhapelo,tragedy
tsholofelo,hope
tlhobogo,despair
boitshoko,patience
tlhaelo,shortage
boikgantsho,pride
kgopisego,offense
tshiamo,righteousness
botlhoko,pain
kgoberego,heartbreak
kgatlhego,interest
tlhokomelo,care
bodutu,loneliness
kgotlelego,contamination
tlhonamo,disappointment
tshabo,fear
kgotlelelo,perseverance
tlhokofalo,sincerity
boitshwarelo,forgiveness
boikokobetso,humility
kgotlhang,conflict
tshwenyego,concern
