word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
betsa,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Ke kopa o mphete betsatsana le eeno a re etele.""]"
bohloko,negative,3,"{""negative"": 0.8, ""positive"": 0.2}","Aggregated from 5 sentences. Counts: {'negative': 4, 'positive': 1}. Avg Rating: 3.20. Inferred Sentiment: negative. Inferred Intensity: 3.","[""Ke kwa bohloko ge ke gopola ka t\u0161a kgale."", ""Monna yola o bolela ka bohloko bja go lahlegelwa ke mosadi wa gagwe."", ""Ngwana o lla ka lebaka la bohloko bja meno."", ""Bohloko bja go lahlegelwa ke motho yo o mo ratago bo a fola ge nako e eya."", ""Ke ikwa bohloko kudu ka morago ga go kitima sebaka se setelele.""]"
boikemo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Boikemo bja gagwe bo ne bo kwa tlase, a sa tsikelediwe ke mangwe a batho ba mo dikolong.""]"
boitlhomogi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Boitlhomogi jwa gagwe bo ne bo fetola tshebetso ya gagwe ya go ithuta.""]"
boitshireletso,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Boitshireletso ba gagwe bo ne bo tlala ka ditlala le boitumelo bjoko a ne a tsaya karolo mo go tsebeng dikgosi.""]"
boitumelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Boitumelo jwa gagwe bo ne bo thabisang thata, a re etse a tshega ka metlha.""]"
bontshe,negative,4,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 4.00. Inferred: Sent=negative, Int=4.","[""Bontshe ke ya tlala mo set\u0161among sa rona, a re thabele ka metse a maphutsaneng.""]"
bosi,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Bosi ya rona o ne a re thusa ka madi a phatshego a sekolo.""]"
botshelo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Ke kopa go thulusa botshelo jwa gagwe ka go mo tlhokomela ka tshwaro e ntle.""]"
dikakanyo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Dikakanyo tsa rona di ne di le kholo haholo ka mor'a hore re fumane litaba tse molemo.""]"
