word,meaning
thabo,happiness
kgotso,peace
tsholofelo,hope
thata,love
mokgwa,custom
boitumelo,joy
tshwenyo,worry
pherekano,excitement
boikemo,pride
mahloko,sadness
sekgel,anger
tlala,hunger
tshiamo,support
botshelo,life
dikakanyo,thoughts
go,departure
maobane,yesterday
mohwadi,drought
tshilidze,surprise
nono,sweetness
kabo,distribution
tshikuelo,sadness
phitlhelelo,regret
motsheare,middle
tshimologo,beginning
kganelo,refusal
tshikamano,togetherness
mokgosi,messenger
tshikolodi,record
bontshe,existence
tshenyegelo,effort
mohwatsu,envy
tshilwe,shame
sekepe,boat
tshipelegetso,recommendation
mothusi,helper
tshilolo,miracle
kgope,prayer
tshilalelo,criticism
mothwane,guest
tshimamare,echo
kgosi,chief
tshililo,prayer
mopedi,satisfaction
tshikolola,thanks
tshwenye,trouble
mohono,skill
tshipego,praise
tshimologelo,origin
boitshireletso,protection
tshwanelo,justice
bosi,boredom
tshikamelo,dislike
phitlho,surprise
kabomo,explosion
mone,sadness
nne,love
betsa,happiness
sebolelo,disappointment
boitlhomogi,satisfaction
lerato,love
kwena,joy
kgopolo,idea
kgalefo,anger
boipelo,pride
kwetlo,compassion
tlhologelo,missing
kgalemelo,criticism
letshogo,fear
kutlwelo,compassion
kgahlego,interest
boikokobetso,humility
