word,meaning
thabile,happy
hloile,sad
bohale,angry
tšaba,afraid
rata,love
hlanya,crazy
hlompha,respect
nyonya,disgust
lakatsa,desire
hlalosa,explain
kgotsofala,satisfied
swabile,disappointed
makatsa,surprise
tshoha,shocked
kgathala,worried
thapelo,prayer
lehloyo,hatred
lerato,love
tlhompho,respect
monyaka,joy
bohloko,pain
mahlomola,suffering
kganya,shine
lefifi,darkness
lesedi,light
botsho,darkness
mofuthu,warmth
serame,cold
monyane,small
kgolo,big
natefeloa,enjoy
hloea,hate
thusa,help
senya,destroy
bopa,create
utloisisa,understand
ferekana,confused
kgutsa,quiet
lerata,noise
botsitso,peace
ntwa,war
khotso,peace
iketsetsa,selfish
abela,share
botshepehi,honesty
leshano,lie
nnete,truth
sephiri,secret
thoko,forgiveness
kotlo,punishment
