word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
abela,positive,3,"{""positive"": 0.6, ""negative"": 0.2, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'neutral': 1, 'positive': 3, 'negative': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ke kopa hore o mphe abela bohobe bo bong."", ""O ile a abela bana ba moahisani lijo tse ngata."", ""Ha a ka a rata ho abela motho letho ka letsatsi leo."", ""Re lokela ho ithuta ho abela ba bang ka mehla."", ""O ile a abela metsoalle ea hae limpho tse ntle.""]"
bohale,positive,4,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.60. Inferred: Sent=positive, Int=4.","[""Bohale ba hae bo ile ba mo thusa ho hlola mathata a mangata bophelong."", ""O ile a bont\u0161a bohale bo boholo ha a ne a sireletsa lelapa la hae."", ""Bohale ba moqhaka oa morena bo ne bo khahla bohle ba neng ba le teng moketeng."", ""Ka linako tse ling, bohale bo ka baka likhohlano tse sa hlokahaleng."", ""Bohale ba pula bo ile ba tlisa metsi a mangata masimong.""]"
bohloko,positive,3,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Bohloko bo ka re ruta ho utloisisa bohloko ba ba bang."", ""O ile a ikutlwa bohloko ka lebaka la ho lahlehelwa ke mosebetsi."", ""Bohloko ba ho se atlehe bo ile ba mo susumetsa ho sebetsa ka thata."", ""Ho na le bohloko bo itseng bo tlisang kutlwisiso e tebileng bophelong."", ""Leha bohloko bo le teng, re lokela ho tsoela pele ka sebete.""]"
bopa,positive,3,"{""positive"": 0.4, ""negative"": 0.4, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 2, 'neutral': 1}. Avg Rating: 3.20. Inferred: Sent=positive, Int=3.","[""Bopaki ba setso sa rona bo bopa motheo o matla bakeng sa meloko e tlang."", ""Bophelo bo thata bo ka bopa maikutlo a sa thabiseng ho motho."", ""Mosebetsi oa matsoho o bopa menyetla e mengata ea boiqapelo."", ""Ho bopa set\u0161oant\u0161o se setle ho hloka mamello le tsebo."", ""Maikutlo a mabe a ka bopa tikoloho e sa pheleng hantle.""]"
botshepehi,positive,3,"{""positive"": 0.4, ""negative"": 0.2, ""neutral"": 0.4}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 1, 'neutral': 2}. Avg Rating: 2.60. Inferred: Sent=positive, Int=3.","[""Botshepehi ke motheo wa kamano e tiileng."", ""O ile a belaela botshepehi ba ditlaleho tseo."", ""Botshepehi ba hae bo ile ba mo thusa ho fumana mosebetsi."", ""Ho na le dipotso tse ngata ka botshepehi ba diphetho tsa diphetho."", ""Botshepehi ha bo a ka ba le seabo se seholo ketsahalong ena.""]"
botsho,positive,3,"{""positive"": 0.4, ""negative"": 0.2, ""neutral"": 0.4}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 1, 'neutral': 2}. Avg Rating: 2.80. Inferred: Sent=positive, Int=3.","[""Botsho bo bontsha botle le bohlale ba setso sa rona."", ""Ho na le mathata a mangata a amanang le botsho le kgethollo."", ""Botsho ke karolo ya boitsebahatso ba rona e sa fetoheng."", ""Re lokela ho keteka botsho ka ho ithuta ka nalane ya rona."", ""Ho na le diphapang tse ngata tse amanang le botsho le mebala e meng.""]"
botsitso,positive,4,"{""positive"": 0.8, ""negative"": 0.2, ""neutral"": 0.0}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'negative': 1}. Avg Rating: 3.60. Inferred: Sent=positive, Int=4.","[""Botsitso ba moithuti bo ile ba mo thusa ho fumana mangolo a matle sekolong."", ""Ke ile ka utloa botsitso ba hae bo le boima haholo nakong ea puisano."", ""Botsitso ba moea bo bohlokoa bakeng sa bophelo bo botle."", ""O ile a bont\u0161a botsitso bo boholo ha a tobane le mathata a maholo."", ""Botsitso ba lijo tsena bo etsa hore li se ke tsa senyeha kapele.""]"
ferekana,positive,3,"{""positive"": 0.4, ""negative"": 0.4, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 2, 'negative': 2, 'neutral': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Ferekana e ile ya thusa batho ba bangata ho fumana mosebetsi."", ""Ke ile ka ferekana ha ke sa fumane tsela e nepahetseng."", ""Bana ba ile ba ferekana ha ba bona dipapadi tse ngata."", ""Ferekana ya hae e ile ya baka diphoso tse ngata mosebetsing."", ""Ho ferekana ha ka ho ile ha fela ha ke fumana tharollo.""]"
hlalosa,neutral,1,"{""positive"": 0.3333333333333333, ""negative"": 0.0, ""neutral"": 0.6666666666666666}","Aggregated from 3 valid sentence analyses. Counts: {'neutral': 2, 'positive': 1}. Avg Rating: 2.00. Inferred: Sent=neutral, Int=1.","[""O ile a hlalosa bothata boo ka tsela e sa hlakang."", ""Ke ne ke sa kgone ho hlalosa maikutlo a ka ka nako eo."", ""Buka ena e hlalosa ditaba tsa histori ka tsela e kgahlisang.""]"
hlanya,positive,3,"{""positive"": 0.8, ""negative"": 0.0, ""neutral"": 0.2}","Aggregated from 5 valid sentence analyses. Counts: {'positive': 4, 'neutral': 1}. Avg Rating: 3.40. Inferred: Sent=positive, Int=3.","[""O hlanya ka lerato la hae ho fihlela a etsa lintho tse sa lebelloang."", ""Bana ba ne ba hlanya ke thabo ha ba bona limpho tsa bona."", ""Ho hlanya ha motjeko ho ile ha etsa hore mokete o be monate haholo."", ""O ile a re ke hlanya, empa ke ne ke tseba hantle seo ke se etsang."", ""Ho hlanya ha moea ho ile ha tlisa phetoho e kholo motseng.""]"
