word,primary_sentiment,intensity,sentiment_distribution,rationale,source_sentences
bodutu,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Ke ikutlwa ke na le bodutu thata fa ke le kwa gae ke le esi, ke ka moo ke tlhophileng go ya kwa bookelong go thusa batho ba bangwe.""]"
boikgantsho,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Boikgantsho jwa gagwe mo go tseyeng karolo mo metshamekong ya sekolo bo mo thusitse go bona tuelo ya go ya sekolong se segolwane.""]"
boikokobetso,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Boikokobetso ke sengwe sa dithuto tse di botlhokwa mo botshelong, ka gonne bo re thusa go amogela diphoso tsa rona le go ithuta mo go tsone.""]"
boipelo,positive,5,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 5.00. Inferred: Sent=positive, Int=5.","[""Boipelo jo bo tletseng bo bonala mo sefatlhegong sa gagwe fa a amogela mpho e a neng a e solofetse lobaka lo lo leele.""]"
boitshoko,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Mme Kgomotso o ne a ruta bana ba gagwe boitshoko ka go ba kopa go leta metsotso e le lesome pele ba ka ja dikuku tse di monate.""]"
boitshwarelo,neutral,1,"{""positive"": 0.0, ""negative"": 0.0, ""neutral"": 1.0}","Aggregated from 1 valid sentence analyses. Counts: {'neutral': 1}. Avg Rating: 1.00. Inferred: Sent=neutral, Int=1.","[""Ke kopa boitshwarelo ka go fitlha thari mo kopanong ya rona gompieno.""]"
boitumelo,positive,3,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 3.00. Inferred: Sent=positive, Int=3.","[""Boitumelo jo bogolo bo tlaa tla fa o dira dilo tse di siameng mo botshelong jwa gago, mme gape bo ka nyelela ka bonako fa o sa tlhokomele maikutlo a gago.""]"
botlhoko,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Ke utlwa botlhoko mo leotong la me morago ga go taboga maabane.""]"
itumelela,undetermined,0,{},No valid sentence analyses.,"[""Ke itumelela go bona gore bana ba a dira sentle mo sekolong, mme ke tshwenyegile ka gore ba bangwe ga ba dire ditiro tsa bone tsa gae.""]"
katlego,positive,5,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 5.00. Inferred: Sent=positive, Int=5.","[""Katlego ya gagwe mo dithutong e tlisitse boitumelo jo bogolo mo lelwapeng la gaabo.""]"
kgalefo,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Kgalefo ya ga Thabo e ne ya fela fa a bona bana ba gagwe ba tshameka ka boitumelo mo tshingwaneng.""]"
kgatelelo,negative,3,"{""positive"": 0.0, ""negative"": 1.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'negative': 1}. Avg Rating: 3.00. Inferred: Sent=negative, Int=3.","[""Kgatelelo ya maikutlo e ka tlisa malwetse a mantsi mo mmeleng, jaaka kgatelelo ya madi e e kwa godimo.""]"
kgatlhego,positive,4,"{""positive"": 1.0, ""negative"": 0.0, ""neutral"": 0.0}","Aggregated from 1 valid sentence analyses. Counts: {'positive': 1}. Avg Rating: 4.00. Inferred: Sent=positive, Int=4.","[""Bana ba sekolo ba bontshitse kgatlhego e ntsi mo go ithuteng ka diphologolo tsa naga.""]"
